word,classification
ah,correct_spelling
aha,correct_spelling
ahchoo,correct_spelling
ahead,correct_spelling
ahem,correct_spelling
ahoy,correct_spelling
aid,correct_spelling
aide,correct_spelling
aided,correct_spelling
aides,correct_spelling
aiding,correct_spelling
aids,correct_spelling
ail,correct_spelling
ailed,correct_spelling
aileron,correct_spelling
ailerons,correct_spelling
ailing,correct_spelling
ailment,correct_spelling
ailments,correct_spelling
ails,correct_spelling
aim,correct_spelling
aimed,correct_spelling
aiming,correct_spelling
aimless,correct_spelling
aimlessly,correct_spelling
aimlessness,correct_spelling
aims,correct_spelling
air,correct_spelling
airbag,correct_spelling
airbags,correct_spelling
airbase,correct_spelling
airbases,correct_spelling
airbed,correct_spelling
airbeds,correct_spelling
airborne,correct_spelling
airbrush,correct_spelling
airbrushed,correct_spelling
airbrushes,correct_spelling
airbrushing,correct_spelling
aircraft,correct_spelling
aircraftman,correct_spelling
aircraftmen,correct_spelling
aircrew,correct_spelling
aircrews,correct_spelling
airdrome,correct_spelling
airdromes,correct_spelling
airdrop,correct_spelling
airdrops,correct_spelling
aired,correct_spelling
airfare,correct_spelling
airfares,correct_spelling
airfield,correct_spelling
airfields,correct_spelling
airflow,correct_spelling
airgun,correct_spelling
airguns,correct_spelling
airhead,correct_spelling
airheads,correct_spelling
airier,correct_spelling
airiest,correct_spelling
airily,correct_spelling
airing,correct_spelling
airings,correct_spelling
airless,correct_spelling
airletter,correct_spelling
airletters,correct_spelling
airlift,correct_spelling
airlifted,correct_spelling
airlifting,correct_spelling
airlifts,correct_spelling
airline,correct_spelling
airliner,correct_spelling
airliners,correct_spelling
airlines,correct_spelling
airlock,correct_spelling
airlocks,correct_spelling
airmail,correct_spelling
airman,correct_spelling
airmen,correct_spelling
airplane,correct_spelling
airplanes,correct_spelling
airplay,correct_spelling
airport,correct_spelling
airports,correct_spelling
airs,correct_spelling
airship,correct_spelling
airships,correct_spelling
airshow,correct_spelling
airshows,correct_spelling
airsick,correct_spelling
airsickness,correct_spelling
airspace,correct_spelling
airspeed,correct_spelling
airstrike,correct_spelling
airstrikes,correct_spelling
airstrip,correct_spelling
airstrips,correct_spelling
airtight,correct_spelling
airtime,correct_spelling
airwaves,correct_spelling
airway,correct_spelling
airways,correct_spelling
airwoman,correct_spelling
airwomen,correct_spelling
airworthiness,correct_spelling
airworthy,correct_spelling
airy,correct_spelling
aisle,correct_spelling
aisles,correct_spelling
aitch,correct_spelling
aitches,correct_spelling
ajar,correct_spelling
akin,correct_spelling
alabaster,correct_spelling
alacrity,correct_spelling
alarm,correct_spelling
alarmed,correct_spelling
alarming,correct_spelling
alarmingly,correct_spelling
alarmist,correct_spelling
alarmists,correct_spelling
alarms,correct_spelling
